source,target,weight,match,type
HorseFeeder,Schmidt,1,2214,Directed
Superior Highlander Genes,7,1,2225,Directed
Superior Highlander Genes,FredJ,1,2225,Directed
Beauty behind the madness,Yuki,1,2228,Directed
Jc,Happy,1,2232,Directed
Hard Mode,CHI LONG QUA,1,2242,Directed
NathanH,Fox,2,2263,Directed
Dark,Clockwork,1,2267,Directed
California,GG,3,2270,Directed
California,Saitama,3,2270,Directed
Elvis,Adam,1,2272,Directed
Fahrenhater,Moe,3,2278,Directed
The Psychotic Snivy,MOLESTERMAN69,2,2280,Directed
Satan,SofaKingCrazie,1,2288,Directed
Max Tryhard,despe,3,2292,Directed
bourgeoisie,"all muted, stealing mid, helo",1,2299,Directed
Av,ggwp,1,2301,Directed
Av,gohanaragorn,1,2301,Directed
KappaRoss,nice la,1,2312,Directed
Oppai,kgeekay,1,2316,Directed
YOLO,UnixDevolution,1,2324,Directed
Miley,Clouds,2,2332,Directed
Miley,jd,2,2332,Directed
Mlcrosoft,s4tarash,7,2343,Directed
Mlcrosoft,your4,7,2343,Directed
Nando,< blank >,1,2346,Directed
twitch.tv/pesdota #Hope,Xin,1,2355,Directed
??,BiG BaNaNna !,1,2369,Directed
U OK NERD?,-.-,1,2379,Directed
Schmidt,art,1,2394,Directed
Hades,MangoCrysis™,2,2418,Directed
Vanity,D,1,2419,Directed
Cringer,FREDRIK,1,2436,Directed
bourgeoisie,Max Tryhard,2,2459,Directed
@[Y]Dimitrie~,Dota 2 Psychologist,1,2465,Directed
bob,Glen,1,2469,Directed
...,MaX.OmEgA`,1,2472,Directed
carry please ty,Kirito,1,2478,Directed
Av,Superior Highlander Genes,1,2488,Directed
ThugLife,Crash,4,2509,Directed
leviosaw,Drake,2,2515,Directed
leviosaw,Jack Sparrow,2,2515,Directed
ice,BabyRage,1,2528,Directed
Bunny of Doom,U OK NERD?,1,2540,Directed
Alex,Gollir@.,1,2545,Directed
Adam,Elvis,1,2547,Directed
Caped Baldy,zzzzzzzzz,1,2549,Directed
Apache,Oidz,1,2563,Directed
Gucci MagiK,Alex,3,2573,Directed
Gucci MagiK,Kain,3,2573,Directed
JasCaLL,Varian Wrynn,3,2593,Directed
Mlcrosoft,s4tarash,1,2595,Directed
Mlcrosoft,your4,1,2595,Directed
David K,hectoriwi,1,2597,Directed
< blank >,Jason,2,2602,Directed
< blank >,moii307,2,2602,Directed
[A],Victory,1,2622,Directed
King Kunta,????,4,2649,Directed
King Kunta,EleGiggle,4,2649,Directed
King Kunta,Hodor,4,2649,Directed
sahmeedat,2Pro4Show,2,2654,Directed
sahmeedat,Hunter,2,2654,Directed
kaztah,///,2,2657,Directed
kaztah,Bulls_Eye,2,2657,Directed
kaztah,Gold,2,2657,Directed
AtField.Barba,rYaiEn,2,2690,Directed
Brent,Nick,1,2693,Directed
Predator,shippycat ツ,1,2701,Directed
Glen,Funk You,4,2716,Directed
MettGyver,†,1,2722,Directed
Descent,Nazarij,1,2728,Directed
Do --,@[Y]Dimitrie~,1,2736,Directed
Sir Jonny of Rustles,Kappa,1,2738,Directed
Make Your Dreams Come True,Falcon,1,2777,Directed
Miley,jd,1,2789,Directed
KKK,method in my madness,2,2810,Directed
.,yolo,1,2813,Directed
camd11,Caped Baldy,1,2814,Directed
David K,17,18,2819,Directed
Av,soy papá,1,2825,Directed
JukeSkywalker,JukeGyllenhaal,2,2858,Directed
JukeSkywalker,Martin Luther King Juker,2,2858,Directed
Ares,The One True Chode,1,2872,Directed
Richard,Bravo VietCong,2,2876,Directed
<3,Yaki,2,2885,Directed
W,Teleport Scroll Expert,1,2904,Directed
Solaris,YCJ,3,2910,Directed
fohu,Deadly^_^,1,2911,Directed
Firefix,JUKE NUKEM,3,2915,Directed
Firefix,Karl,3,2915,Directed
Justice,Medivh,1,2918,Directed
Miska,SD.merlin,1,2924,Directed
Miska,Tallcat,1,2924,Directed
Miska,The Boy,1,2924,Directed
__,scantid,2,2934,Directed
Rocco - Davaide and conquer,-25,2,2940,Directed
???,:),1,2957,Directed
???,Geomchi507,1,2957,Directed
Clockwork,JOHN CENA,1,2958,Directed
Marymar♥,< blank >,1,2963,Directed
Marymar♥,Psycho,1,2963,Directed
G.I...,Lur8,1,2974,Directed
Mirakuru,Adlet Mayer,1,2981,Directed
NotLikeThis,Fire,2,2987,Directed
Urgel,Chris,3,2990,Directed
asdf,Alex,3,2993,Directed
asdf,twitch.tv/pesdota #Hope,3,2993,Directed
M,DJ,3,2995,Directed
Aneren,Equalizer,6,2996,Directed
Roy,Chill,1,2998,Directed
Roy,Nijbu,1,2998,Directed
Roy,Rabbit,1,2998,Directed
Monster,G_G,3,3001,Directed
Light,Hope,1,3004,Directed
Light,Legendary,1,3004,Directed
Artanis,Kevin,1,3013,Directed
Artanis,skijunkie,1,3013,Directed
King Kunta,Hodor,1,3022,Directed
King Kunta,The Angler,1,3022,Directed
Vroksnak,despe,2,3030,Directed
bneutrality,D.,2,3038,Directed
ZorN,Hunter,1,3052,Directed
bourgeoisie,Max Tryhard,7,3058,Directed
Meliodas,:),1,3069,Directed
SOMETIMES,???,2,3077,Directed
SOMETIMES,PsyDuck,2,3077,Directed
Matt,preiddeu annwfn,1,3080,Directed
TINKLES,Myst,2,3093,Directed
...,Hachiko,1,3094,Directed
...,♥ SugarGliderLove ♥,1,3094,Directed
420 booty wizard,2Pro4Show,2,3108,Directed
420 booty wizard,Z,2,3108,Directed
Charlie,Michael,1,3110,Directed
Saitama,Silence,1,3114,Directed
Mesuzuko | M-God,Vynil | Zyn,1,3117,Directed
Miska,Tallcat,1,3133,Directed
Miska,nob,1,3133,Directed
Kix 7x,ONiGiRi,2,3144,Directed
WatuZ,hi,1,3155,Directed
Artanis,skijunkie,1,3157,Directed
Captain Cra$h,SLAM,1,3162,Directed
Glen,Funk You,1,3175,Directed
Glen,scantid,1,3175,Directed
California,JUMPMAN,9,3188,Directed
werling44,new beginnings,1,3193,Directed
Garam,ALWAYSWANNAFLY,1,3200,Directed
Mr_spoon,Diabetuus,1,3201,Directed
Mr_spoon,Pornochicken,1,3201,Directed
Flame,Chewie,1,3209,Directed
Flame,Huh?,1,3209,Directed
Nexr,Nirvana,4,3232,Directed
K.Y,Loki57,1,3233,Directed
Dean,Sunshine,1,3242,Directed
Makaveli-,Schmidt,1,3250,Directed
Makaveli-,Sun,1,3250,Directed
TINKLES,Butthole,1,3253,Directed
TINKLES,Ho랑이,1,3253,Directed
TINKLES,Nx3,1,3253,Directed
Zzz,nice la,1,3257,Directed
aaron,Hi,2,3266,Directed
Betelgeuse,Hey b0ss,1,3268,Directed
Myth,Neo,1,3273,Directed
Myth,Whatever,1,3273,Directed
Assassin,noob,1,3278,Directed
RBLR.dany fuckin heatley,RBLR.Marcutio,2,3288,Directed
King,KN.4ever.♥™®,2,3289,Directed
N A,Morgo,3,3291,Directed
bourgeoisie,Max Tryhard,2,3294,Directed
Miracle-,Scrub,2,3295,Directed
Miracle-,a winner,2,3295,Directed
ALWAYSWANNADIE,Archer,7,3298,Directed
Michael,Hurfdurf,2,3299,Directed
DIabOluS,Delirium Tremens,1,3304,Directed
DIabOluS,Hero,1,3304,Directed
popo,"Jack ""ppc"" Pot",2,3310,Directed
Silence,-,2,3330,Directed
Silence,John,2,3330,Directed
Silence,Kai,2,3330,Directed
Mesuzuko | M-God,Vynil | Zyn,2,3335,Directed
J.,.,1,3338,Directed
J.,Josh,1,3338,Directed
Ephemeral,KappaPride,5,3339,Directed
Peter,Jeff,3,3345,Directed
Fuzz,Dembe,1,3346,Directed
MingLee,Kirito,1,3369,Directed
Jay,Ruby,1,3379,Directed
JukeGyllenhaal,General Stonewall Jukeson,1,3392,Directed
JukeGyllenhaal,Martin Luther King Juker,1,3392,Directed
Obama Bin Laden,ez,5,3402,Directed
Smile,What's Poppin',2,3407,Directed
TINKLES,Butthole,2,3408,Directed
TINKLES,Nx3,2,3408,Directed
RBLR.Marcutio,RBLR.dany fuckin heatley,1,3409,Directed
RBLR.Marcutio,Rick Sanchez,1,3409,Directed
preiddeu annwfn,zero,1,3426,Directed
Betelgeuse,CaRRyGaN,2,3441,Directed
Goat,.,4,3445,Directed
D4D.EldestDad.420,425,1,3454,Directed
Psycho,Samurai,2,3455,Directed
MïќE LtR,...,1,3483,Directed
Peter,Samurai,3,3486,Directed
RED,S.T.Y.L.E.,2,3494,Directed
Vanity,Kain,1,3520,Directed
General Stonewall Jukeson,JukeGyllenhaal,1,3521,Directed
General Stonewall Jukeson,JukeSkywalker,1,3521,Directed
General Stonewall Jukeson,Martin Luther King Juker,1,3521,Directed
Miracle-,nom,1,3524,Directed
TMSTHEGREAT,joker'sbestfriend,2,3539,Directed
G_G,????,2,3556,Directed
:(,Michael,2,3570,Directed
:(,Mineski FAN GAY,2,3570,Directed
:(,Water,2,3570,Directed
RBLR.dany fuckin heatley,RBLR.Marcutio,2,3575,Directed
RBLR.dany fuckin heatley,Rick Sanchez,2,3575,Directed
JMT,Jason,3,3614,Directed
JMT,Light,3,3614,Directed
D,leasey^,1,3618,Directed
Deodorant spray,TheGentleman,3,3626,Directed
Reaper,Naylor,1,3631,Directed
Ez,No more heroes,8,3638,Directed
gypsyfy,robottaway,1,3639,Directed
Hakuna Matata,TINKLES,3,3644,Directed
Jeff,Arthur Shelby,1,3648,Directed
Thomas The Dank Engine,Dall,1,3655,Directed
XD,asdf,5,3656,Directed
XD,ебать,5,3656,Directed
MID OR FEED,:(,6,3657,Directed
MID OR FEED,CC&C,6,3657,Directed
MID OR FEED,K.Y,6,3657,Directed
Mild Bobby Sauce,Redemption,8,3665,Directed
OnePunchMan,twitch.tv/HaroldAgas17,1,3678,Directed
Alone,central.e-JAM,2,3683,Directed
Pablo Escobar,22sjpog,1,3684,Directed
Captain Cra$h,SLAM,3,3707,Directed
Captain Cra$h,Zokhem,3,3707,Directed
Sam,Snipe Desu~,3,3709,Directed
King Kunta,Hodor,1,3710,Directed
King Kunta,The Angler,1,3710,Directed
Bob,Keck³,1,3712,Directed
G,JUMPMAN,2,3715,Directed
Maverick,< blank >,16,3727,Directed
Maverick,Max Tryhard,16,3727,Directed
"<font face=""impact"">SALTEW",The Psychotic Snivy,1,3740,Directed
HARRI$,TED,1,3761,Directed
Onions123,kellyMONKEYS,1,3766,Directed
Kingmonkey,nom,2,3767,Directed
Shaun,322,1,3771,Directed
Boobs-chan,Moe-Chan,1,3781,Directed
Bloop,Baba Yaga,1,3783,Directed
Bloop,Hubcap,1,3783,Directed
Kingslayer,Number Juan Doto Player,2,3802,Directed
Kingslayer,Terpcasl,2,3802,Directed
yolowarrior,123,2,3809,Directed
Max Tryhard,Messiah,1,3834,Directed
Fayher,JAFAR,1,3835,Directed
Zokhem,Captain Cra$h,3,3837,Directed
Zokhem,Fearless,3,3837,Directed
Apricot,TINKLES,2,3841,Directed
Apricot,攀登,2,3841,Directed
Porky's Butthole,Cheese,1,3846,Directed
Porky's Butthole,TARS,1,3846,Directed
Jack,General Stonewall Jukeson,2,3847,Directed
Jack,Martin Luther King Juker,2,3847,Directed
RBLR.dany fuckin heatley,Rick Sanchez,1,3854,Directed
Chocolove,<3,1,3887,Directed
.,Alpha,1,3888,Directed
Tiny Rick,Death,5,3897,Directed
Tiny Rick,strawman,5,3897,Directed
Feelsbadman,Michael,1,3904,Directed
Feelsbadman,ndlz,1,3904,Directed
...,Kain,1,3910,Directed
...,^_^,1,3910,Directed
pLuhhmm,doodla,2,3923,Directed
Moe-Chan,Boobs-chan,1,3931,Directed
Deodorant spray,????????,1,3936,Directed
Deodorant spray,Kpkz,1,3936,Directed
Deodorant spray,NAES,1,3936,Directed
SiR,Give,1,3938,Directed
SiR,ONE PUNCH MAN,1,3938,Directed
SiR,You're*,1,3938,Directed
Solitary Judge,dez,2,3944,Directed
Fuuzzie,Faith,1,3952,Directed
Fuuzzie,My Team Rages At Me,1,3952,Directed
Matthew,Gates,1,3953,Directed
Hello,taYtaY,3,3961,Directed
Clueless,Virus,2,3968,Directed
aaron,EZ,5,3972,Directed
aaron,Kappa,5,3972,Directed
@hiro,kk,1,3992,Directed
Alpha,Zero,1,4000,Directed
Mottley,VdoubleI,1,4003,Directed
Number Juan Doto Player,420 booty wizard,2,4005,Directed
Number Juan Doto Player,Fookenprawn,2,4005,Directed
