source,target,weight,match,type
Low Priority Games Left: 5 (MUT,brink,13,11949,Directed
Low Priority Games Left: 5 (MUT,phasmy,13,11949,Directed
Low Priority Games Left: 5 (MUT,互相折磨到白头,13,11949,Directed
Low Priority Games Left: 5 (MUT,-=Serafim=-,13,11949,Directed
Low Priority Games Left: 5 (MUT,Dana,13,11949,Directed
Low Priority Games Left: 5 (MUT,Mindy,13,11949,Directed
Low Priority Games Left: 5 (MUT,sri,13,11949,Directed
INVOKER LONG QUA,DOGSHIT,14,12796,Directed
INVOKER LONG QUA,HE SLAMS IT IN!,14,12796,Directed
INVOKER LONG QUA,Megalovania,14,12796,Directed
INVOKER LONG QUA,Moonstin,14,12796,Directed
INVOKER LONG QUA,Muajajaja,14,12796,Directed
INVOKER LONG QUA,Notorious,14,12796,Directed
INVOKER LONG QUA,S.T.Y.L.E.,14,12796,Directed
INVOKER LONG QUA,Za!nsta,14,12796,Directed
INVOKER LONG QUA,IGUANA BANANA,14,12796,Directed
INVOKER LONG QUA,Obama Bin Laden,14,12796,Directed
INVOKER LONG QUA,duality,14,12796,Directed
INVOKER LONG QUA,find the feeling,14,12796,Directed
Butterfly,FooNDeeP,13,13323,Directed
Butterfly,Hameㄨ,13,13323,Directed
Butterfly,Harsk,13,13323,Directed
Butterfly,Ramirte Imperator,13,13323,Directed
Butterfly,Wintermute,13,13323,Directed
360 no scope,. . . .,11,13516,Directed
360 no scope,< blank >,11,13516,Directed
360 no scope,Assassin,11,13516,Directed
360 no scope,Frodo Fraggins,11,13516,Directed
360 no scope,GlitterFart,11,13516,Directed
360 no scope,"Hot,Spicy,Meat",11,13516,Directed
360 no scope,John The Man Bear Pig #RwN,11,13516,Directed
360 no scope,tehdilgerer,11,13516,Directed
Dropping Mixtapes,CP-0,18,13766,Directed
Dropping Mixtapes,DB,18,13766,Directed
Dropping Mixtapes,EZ PARIS,18,13766,Directed
Dropping Mixtapes,Pascal,18,13766,Directed
Dropping Mixtapes,Ryuzaki,18,13766,Directed
Dropping Mixtapes,TTTT,18,13766,Directed
Dropping Mixtapes,consolidate_pain,18,13766,Directed
Dropping Mixtapes,パーク,18,13766,Directed
Good ol' uncle Eric 69™,EG Fangrill,15,14591,Directed
Good ol' uncle Eric 69™,Fasst12,15,14591,Directed
Good ol' uncle Eric 69™,FjalL,15,14591,Directed
Good ol' uncle Eric 69™,Meatiest,15,14591,Directed
Good ol' uncle Eric 69™,Plumpist,15,14591,Directed
Good ol' uncle Eric 69™,ReDsNoTDeAd,15,14591,Directed
Good ol' uncle Eric 69™,Tay,15,14591,Directed
JuKeRsOwNNuBs N.A Style,Convert Veggies,11,14947,Directed
JuKeRsOwNNuBs N.A Style,Gordon,11,14947,Directed
JuKeRsOwNNuBs N.A Style,Mid Raper,11,14947,Directed
JuKeRsOwNNuBs N.A Style,SwiSwi,11,14947,Directed
JuKeRsOwNNuBs N.A Style,UnjO,11,14947,Directed
JuKeRsOwNNuBs N.A Style,taYtaY,11,14947,Directed
RBC Cash Back,Cyn,25,14970,Directed
RBC Cash Back,Inertvirus,25,14970,Directed
RBC Cash Back,Justron,25,14970,Directed
RBC Cash Back,USDA CERTIFIED SPIC,25,14970,Directed
RBC Cash Back,double rules,25,14970,Directed
RBC Cash Back,uncertified spic,25,14970,Directed
RBC Cash Back,✪Hiro,25,14970,Directed
