source,target,weight,match,type
HULK,TinkerBell,2,3945,Directed
Standin.ragha,Defensif^,1,3986,Directed
Eosin,ATC,3,4004,Directed
Angry Nikolai,Times_red,2,4017,Directed
HULK,-_-,3,4021,Directed
HULK,TinkerBell,3,4021,Directed
??,Skayl,1,4031,Directed
Pepe Investor,X,4,4034,Directed
"(have fun, pal)",??,2,4045,Directed
"(have fun, pal)",?????,2,4045,Directed
Reaper,Cutie Kitty Sylveon x,1,4084,Directed
Vern Vandamn,777,1,4103,Directed
Shacklz,Drake,2,4106,Directed
HULK,TinkerBell,4,4142,Directed
KKK,Valar Morghulis,1,4169,Directed
Hello,Ooze | hitbox.tv/oozex,1,4200,Directed
Baba Yaga,< blank >,1,4246,Directed
Baba Yaga,Ephemeral,1,4246,Directed
Baba Yaga,Hachiko,1,4246,Directed
Tzu,ggwp,3,4260,Directed
[EE's Disciple],Lord,3,4264,Directed
asdf,wizn,2,4291,Directed
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW,Scrotes,2,4312,Directed
Schlebben.XD,Spooderman,1,4363,Directed
Sindor,???????,1,4406,Directed
Jim Carry,Gucci MagiK,1,4408,Directed
Jim Carry,Kappa,1,4408,Directed
jaynanners,x-0ne (G.O.D),7,4425,Directed
:D,Shacklz,3,4464,Directed
Unknown,VALAR MORGHULIS,2,4495,Directed
Unknown,X,2,4495,Directed
Emil,twitch.tv/wingbladedota,14,4511,Directed
Scrotes,Vigoss,1,4515,Directed
Apple,Dracula,1,4516,Directed
BigEyesShortCock,......,2,4523,Directed
D.,xd,3,4568,Directed
RFA,Deadpool,2,4605,Directed
RFA,dotato,2,4605,Directed
CHI LONG QUA,o_O,3,4610,Directed
Kappa,^^,2,4630,Directed
FREDRIK,Cringer,1,4631,Directed
Emil,James,2,4639,Directed
JohnDoe,GenghisLOL,4,4654,Directed
LoL,Mirakuru,1,4674,Directed
Goofy Hell,.inf,1,4720,Directed
Goofy Hell,KMZWAY87AA,1,4720,Directed
Goofy Hell,Lost_Faith,1,4720,Directed
Goofy Hell,[N]ooble,1,4720,Directed
Jesus,Frost,16,4734,Directed
Alive,"gibe da Weekend, b0ss",4,4738,Directed
peco,✿ sk_Baymax™♠,1,4753,Directed
333,Saltz,1,4757,Directed
333,bourgeoisie,1,4757,Directed
